Location,Handle,Text,Geo,Place
Ashburn,amkolat,Easy five minutes thru @TSA @LASairport not like 40 at @Dulles_Airport - our nation's embarrassment,,NULL
Ashburn,PiersonMP,RT @BruceBartlett: Republicans threaten unprecedented congressional gridlock unless Trump wins.  https://t.co/a16MbkBWob,,NULL
Ashburn,cgutshal,"@LtHarryStocracy I've never considered doing that, but I can see the perks. Will have to try with my ACW Perry's #spreadthelard",,NULL
Ashburn,Teachchick,RT @varepall: 'Gays for Trump' Show Pride at Florida Rallies - Breitbart https://t.co/LBQEERKdmH,,NULL
Ashburn,FrisellTeodor,RT @GameByte_: Skyrim definitely had some immersion problems https://t.co/IS5liSTAkD,,NULL
Ashburn,mufdog1,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,MelanieBierman,#JioMami Movie Review: Dr Strange https://t.co/WlDEELc4sM https://t.co/vqOvIM8fLn,,NULL
Ashburn,liquidcape,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,deplorable_ron,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,TheIndigoAnchor,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,timmy0302,@SInow @skylarclouds https://t.co/IQCZKv2MdJ,,"Tysons Corner, VA"
Ashburn,LockBustersVA,"The thought of living anywhere else is unbearable, Virginia. https://t.co/2OQyU71k7j",,NULL
Ashburn,PhoHouseMD,Phorever fresh. https://t.co/It5V5Pd3JH,,NULL
Ashburn,Hamish_Hoosen,When people use logic in determining Zuma's next move after the #StateCaptureReport. Zuma does not care about logic. Only dollars.,,"Chantilly, VA"
Ashburn,paphotog,RT @varepall: Lena Dunham Posts Video Celebrating the 'Extinction of White Men' on Twitter - Breitbart https://t.co/3Wa2uherEo,,NULL
Ashburn,timmy0302,@memgrizz @adidas https://t.co/IQCZKv2MdJ,,"Tysons Corner, VA"
Ashburn,K12Learn,Sandwich Minis Help Maximize Leftovers https://t.co/VdHVSdW2Re #NationalSandwichDay,,NULL
Ashburn,KrissieMaas,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,Andreatellsall,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,SashaMo75257818,@jacobsartorius Hey Cute)),,NULL
Ashburn,1eskyman,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,ClaudBarras,RT @JunkScience: Of course... global warming causes it to get colder! https://t.co/6fQK2SAjqF,,NULL
Ashburn,Maddox8212,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,hamrickisms,Good cause and always smart to be prepared! https://t.co/vGwoWGjzHW,,NULL
Ashburn,TruthWins4ever,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,kevinwxgg,"Elizabeth Banksruptcy
#RecessionACeleb",,NULL
Ashburn,timmy0302,@NBA_babe https://t.co/IQCZKv2MdJ.. help me help Zach Marbury PT Guard NBA 7032981222,,"Tysons Corner, VA"
Ashburn,AkaMotherto3,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,thestustein,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,DestinationJobs,"Join the Lansdowne Resort team! See our latest #job opening here: https://t.co/wHqtLGtRDZ #Hospitality #Leesburg, VA #Hiring","{u'type': u'Point', u'coordinates': [39.1156615, -77.5636015]}","Leesburg, VA"
Ashburn,SwainSwainjen,Driver in 2-bus crash wasn't authorized to drive school bus | WTOP https://t.co/unn2XqHyo2 via @WTOP,,NULL
Ashburn,Graveepants,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,BunkerLeesburg,"New Thursdays @ @BunkerLeesburg,Tonight #Ladies Night &amp; #Vape Night, Music by @djkidnyce &amp; Hosted by Industrial Vapery, Free to Join!",,NULL
Ashburn,Jay_White0509,https://t.co/ISbdfxeRBG #Tribe17,,NULL
Ashburn,ArielGonzalez_1,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,GarySmi98320845,RT @varepall: Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,Hamish_Hoosen,@FloydShivambu @Julius_S_Malema From Curry or the Guptas. One will definitely lead to shit though.,,"Chantilly, VA"
Ashburn,IT_Crossfitter,Please keep an eye out for these two. https://t.co/w6Hs5k1FHM,,NULL
