Location,Handle,Hillary,#ImWithHer
Richmond,AidenRhonda,0,0
Richmond,4thepeople2274,0,0
Richmond,PensfanRVA,0,0
Richmond,BravesOptions,0,0
Richmond,rise804,0,0
Richmond,Kyle_Goodier72,0,0
Richmond,_PrettyLexxx_,0,0
Richmond,comshot89,0,0
Richmond,AyeitsMellyMel,0,0
Richmond,tryppymane,0,0
Richmond,walkerdl,0,0
Richmond,AyeitsMellyMel,0,0
Richmond,COOLLANEHERO,0,0
Richmond,TESLAforecast,0,0
Richmond,qscconsultancy,0,0
